Number,Journal tittle,Platform,Country,Publishers Name,Language,Thematic area,African Index Medicus,Medline (Medicine and Health Journals),Indexed on Google Scholar,Impact Factor,Scopus,H-Index,Eigenfactor,Eigenfactor metrix,Source Normalized Impact per Paper (SNIP),SNIP metrix,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,Column1
1,International Journal of Energetica  ,African Journal Online (AJOL),Algeria,The Scientific Club of Al Manahil Association.,English,Science and Technology,0,,0,,0,,0,,0,,1,1,1,0,1,1,0 = No
2,Journal de la Faculté de Médecine,African Journal Online (AJOL),Algeria,University of Djelfa,French,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,1 = Yes
3,Journal of Fundamental and Applied Sciences  ,African Journal Online (AJOL),Algeria,J Fundam Appl Sci.,English,Science and Technology,0,,1,19,0,,0,,0,,1,1,0,0,1,1,
4,les cahiers du cread,African Journal Online (AJOL),Algeria,,French,Science and Technology,0,,1,5,0,,0,,0,,1,0,1,0,1,1,
5,Management & Economics Research Journal,African Journal Online (AJOL),Algeria,HATASO-S2SynergyGlobal,English,Business and Finance,0,,0,,0,,0,,0,,1,1,1,1,1,1,
6,Revue d'Information Scientifique et Technique,African Journal Online (AJOL),Algeria,,French,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
7,Synthèse: Revue des Sciences et de la Technologie ,African Journal Online (AJOL),Algeria,Université Badji Mokhtar- Annaba ,French,Science and Technology,0,,1,,0,,0,,0,,1,0,1,0,1,1,
8,Technologies Avancées,African Journal Online (AJOL),Algeria,,French,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
9,Annales des Sciences Agronomiques,African Journal Online (AJOL),Benin,,English,Agriculture,0,,0,,0,,0,,0,,0,0,1,0,1,1,
10,Botswana Journal of Economics,African Journal Online (AJOL),Botswana,BOTSWANA ECONOMICS ASSOCIATION,English,Business and Finance,0,,0,,0,,0,,0,,1,0,1,0,1,1,
11,Botswana Journal of Technology,African Journal Online (AJOL),Botswana, University of Botswana,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
10,Marang: Journal of Language and Literature,African Journal Online (AJOL),Botswana,Blackwell Publishers,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
13,Revue Burkinabè de droit,African Journal Online (AJOL),Burkina Faso,,French,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
14,"Science et Technique, Sciences de la Santé",African Journal Online (AJOL),Burkina Faso,,French,Science and Technology,0,,1,3,0,,0,,0,,0,0,1,0,1,1,
15,Sud Sciences et Technologies,African Journal Online (AJOL),Burkina Faso,,French,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
16,East Africa Science,African Journal Online (AJOL),Burudi,Knowledge for Health Project,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
17,African Anthropologist,African Journal Online (AJOL),Cameroon, Pan African Anthropological Association.,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
18,Cameroon Journal of Agricultural Science,African Journal Online (AJOL),Cameroon,,English,Agriculture,0,,0,,0,,0,,0,,0,0,1,0,1,1,
19,Cameroon Journal of Experimental Biology,African Journal Online (AJOL),Cameroon,Cameroon Forum for Biological Sciences (CAFOBIOS),English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
20,Clinics in Mother and Child Health,African Journal Online (AJOL),Cameroon,Ashdin Publishing,English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
21,International Journal of Biological and Chemical Sciences,African Journal Online (AJOL),Cameroon, International Formulae Group (IFG),English,Science and Technology,0,,1,17,0,,0,,0,,1,0,1,0,1,1,
22,Investigational Medicinal Chemistry and Pharmacology,African Journal Online (AJOL),Cameroon,The University of Dschang,English,Medicine and Health,0,0,0,,0,,0,,0,,1,0,1,0,1,1,
23,Journal of the Cameroon Academy of Sciences,African Journal Online (AJOL),Cameroon,Buea: Cameroon Academy of Sciences,English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
24,Revue Africaine de Chirurgie et Spécialités,African Journal Online (AJOL),Cameroon,,French,Science and Technology,0,,1,1,0,,0,,0,,0,0,1,0,1,1,
25,Journal of the Cameroon Academy of Sciences,African Journal Online (AJOL),Cameroon,Buea: Cameroon Academy of Sciences,English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
26,Revue de Médecine et de Pharmacie,African Journal Online (AJOL),Cameroon, University of Douala,French,Medicine and Health,0,0,0,,0,,0,,0,,0,0,1,0,1,1,
27,Abia State University Medical Students' Association Journal,African Journal Online (AJOL),Nigeria,"Abia State University Teaching Hospital, Aba",English,Medicine and Health,0,0,0,,0,,0,,0,,0,0,0,0,1,1,
28,African Journal for the Psychological Study of Social Issues,African Journal Online (AJOL),Nigeria, Claverianum Press,English,Medicine and Health,0,1,1,6,0,,0,,0,,0,0,0,0,1,1,
29,African Journal of Anaesthesia and Intensive Care,African Journal Online (AJOL),Nigeria,Mirral Printing Press,English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,0,0,1,1,
30,African Journal of Biomedical Research  ,African Journal Online (AJOL),Nigeria,Biomedical Communications Group,English,Medicine and Health,0,1,1,8,1,19,0,,0,,0,0,1,0,1,1,
31,African Journal of Clinical and Experimental Microbiology,African Journal Online (AJOL),Nigeria,,English,Medicine and Health,1,1,1,10,0,,0,,0,,1,0,1,0,1,1,
30,African Journal of Drug and Alcohol Studies,African Journal Online (AJOL),Nigeria,African Centre for Research and Information on Substance Abuse (CRISA),English,Medicine and Health,0,1,0,,1,10,0,,0,,1,0,1,0,1,1,
33,African Journal of Economic Policy,African Journal Online (AJOL),Nigeria,,English,Business and Finance,0,,1,7,0,,0,,0,,0,0,0,0,1,1,
34,African Journal of Endocrinology and Metabolism,African Journal Online (AJOL),Nigeria,Taylor & Francis,English,Medicine and Health,0,0,0,,0,,0,,0,,1,0,0,0,1,1,
35,African Journal of Environmental Science and Technology,African Journal Online (AJOL),Nigeria,,English,Science and Technology,0,,1,13,0,,0,,0,,1,0,1,0,1,1,
36,African Journal of Infectious Diseases,African Journal Online (AJOL),Nigeria,,English,Medicine and Health,1,1,1,12,1,15,0,,0,,1,1,1,1,1,1,
37,African Journal of International Affairs and Development,African Journal Online (AJOL),Nigeria,College Press & Publishers,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
38,"African Journal of Library, Archives and Information Science",African Journal Online (AJOL),Nigeria,"Archlib and Information Services Ltd,",English,Social Sciences and Humanities,0,,0,,1,11,0,,0,,0,0,1,0,1,1,
39,African Journal of Livestock Extension,African Journal Online (AJOL),Nigeria,Dept. of Agricultural Extension and Rural Development. University of Ibadan,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
40,African Journal of Oral Health ,African Journal Online (AJOL),Nigeria,,English,Medicine and Health,0,0,0,,0,,0,,0,,0,0,1,0,1,1,
41,African Journal of Paediatric Nephrology,African Journal Online (AJOL),Nigeria,,English,Medicine and Health,0,0,0,,0,,0,,0,,0,0,0,0,1,1,
42,African Journal of Paediatric Surgery,African Journal Online (AJOL),Nigeria, Medknow Publications,English,Medicine and Health,1,1,1,8,1,20,0,,1,0.33,0,0,1,1,0,1,
43,African Journal of Physiotherapy and Rehabilitation Sciences,African Journal Online (AJOL),Nigeria," Department of Physiotherapy, College of Medicine University of Ibadan",English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
44,African Journal of Reproductive Health,African Journal Online (AJOL),Nigeria,Women’s Health and Action Research Centre (WHARC).,English,Medicine and Health,1,1,1,23,1,46,0,,1,0.53,1,0,1,0,1,1,
45,African Journal of Social Issues,African Journal Online (AJOL),Nigeria,African Journal of Social Issues (AJOSI) ,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
46,African Journal of Sustainable Development,African Journal Online (AJOL),Nigeria,"Centre for Sustainable Development, University of Ibadan",English,Social Sciences and Humanities,0,,1,6,0,,0,,0,,0,0,1,0,1,1,
47,"African Journal of Traditional, Complementary and Alternative Medicines",African Journal Online (AJOL),Nigeria,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),English,Social Sciences and Humanities,1,,1,,1,53,0,,0,,1,0,0,0,1,1,
48,African Studies Monographs,African Journal Online (AJOL),Nigeria,"Research Committee for African Area Studies, Kyoto University ",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
49,Afrimedic Journal,African Journal Online (AJOL),Nigeria," Association of Resident Doctors, Nnamdi Azikiwe University Teaching Hospital",English,Medicine and Health,0,,0,,0,,0,,0,,1,0,1,0,1,1,
50,Agro-Science,African Journal Online (AJOL),Nigeria,,English,Agriculture,0,,0,,0,,0,,0,,1,0,1,0,1,1,
51,Agrosearch,African Journal Online (AJOL),Nigeria,University of Ilorin ,English,Agriculture,0,,0,,0,,0,,0,,1,0,1,0,1,1,
52,Anchor University Journal of Science and Technology,African Journal Online (AJOL),Nigeria,Anchor University ,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
53,Animal Production Research Advances,African Journal Online (AJOL),Nigeria,Tapas Institute of Scientific Research and Development,English,Agriculture,0,,0,,0,,0,,0,,0,0,0,0,1,1,
54,Animal Research International,African Journal Online (AJOL),Nigeria,University of Nigeria,English,Agriculture,0,,1,8,0,,0,,0,,1,0,1,0,1,1,
55,Annals of African Medicine,African Journal Online (AJOL),Nigeria, Usmanu Danfodiyo University Teaching Hospital,English,Medicine and Health,1,1,1,17,1,30,0,,1,0.86,1,0,1,1,0,1,
56,Annals of Biomedical Sciences,African Journal Online (AJOL),Nigeria,,English,Medicine and Health,0,1,1,2,0,,0,,0,,0,0,0,0,1,1,
57,Annals of Health Research,African Journal Online (AJOL),Nigeria,"Medical and Dental Consultants Association of Nigeria, Olabisi Onabanjo University Teaching Hospital, Sagamu Branch, Sagamu, Nigeria",English,Medicine and Health,0,1,0,,0,,0,,0,,1,1,1,1,1,1,
58,Annals of Humanities and Development Studies,African Journal Online (AJOL),Nigeria,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
59,Annals of Ibadan Postgraduate Medicine,African Journal Online (AJOL),Nigeria,"Association of Resident Doctors, University College Hospital",English,Medicine and Health,0,1,1,5,0,,0,,0,,1,0,1,0,1,1,
60,Annals of Medical and Health Sciences Research,African Journal Online (AJOL),Nigeria,"NIGERIAN MEDICAL ASSOC, ENUGU STATE",English,Medicine and Health,1,1,1,12,0,,0,,0,,0,1,1,0,1,1,
61,Annals of Modern Education,African Journal Online (AJOL),Nigeria,Innovation Forever Publishing Group Limited,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
62,Annals of Nigerian Medicine,African Journal Online (AJOL),Nigeria," Association of Resident Doctors of the Ahmadu Bello University Teaching hospital Zaria, Nigeria",English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,1,0,1,1,
63,Arụmarụka: Journal of Conversational Thinking,African Journal Online (AJOL),Nigeria,Conversational Society of Philosophy,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,1,1,0,1,1,
64,Archives of Ibadan Medicine,African Journal Online (AJOL),Nigeria,"Eurocommunica Publications, 2001",English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,1,0,0,1,
65,ATBU Journal of Environmental Technology,African Journal Online (AJOL),Nigeria,"Faculty of Environmental Technology, Abubakar Tafawa Balewa University",English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
66,Babcock University Medical Journal,African Journal Online (AJOL),Nigeria,Babcock Medical Society,English,Medicine and Health,1,,0,,0,,0,,0,,1,1,1,0,1,1,
67,Bakolori Journal of General Studies,African Journal Online (AJOL),Nigeria,"Abdu Gusau Polytechnic, Talata Mafara",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
68,Bayero Journal of Medical Laboratory Science,African Journal Online (AJOL),Nigeria, Department of Medical Laboratory Science of Bayero University,English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
69,Bayero Journal of Nursing and Health Care,African Journal Online (AJOL),Nigeria,"Bayero University Press, Bayero University",English,Medicine and Health,0,0,0,,0,,0,,0,,1,0,1,0,1,1,
70,Bayero Journal of Pure and Applied Sciences,African Journal Online (AJOL),Nigeria,"Bayero University Press, Bayero University",English,Science and Technology,0,,1,8,0,,0,,0,,1,0,1,0,1,1,
71,Nigeria Journal of Postgraduate Medicine,African Journal Online (AJOL),Nigeria,Wolters Kluwer Medknow Publications,English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,0,1,0,1,
72,Bio-Research,African Journal Online (AJOL),Nigeria,"Faculty of Biological Sciences, University of Nigeria",English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
73,Biokemistri,African Journal Online (AJOL),Nigeria,,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
74,Boro Medical Journal,African Journal Online (AJOL),Nigeria,Medical and Dental Consultants,English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
75,Bowen Journal of Agriculture,African Journal Online (AJOL),Nigeria,,English,Agriculture,0,,0,,0,,0,,0,,0,0,0,0,1,1,
76,ChemSearch Journal,African Journal Online (AJOL),Nigeria,,English,Science and Technology,0,,1,8,0,,0,,0,,1,0,1,0,1,1,
77,Communicate: Journal of Library and Information Science,African Journal Online (AJOL),Nigeria,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
78,Counsellor (The),African Journal Online (AJOL),Nigeria,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
79,Creative Artist: A Journal of Theatre and Media Studies,African Journal Online (AJOL),Nigeria,"Department of Theatre and Film Studies, Nnamdi Azikiwe University, Awka",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,0,0,1,1,
80,Democracy & Development: Journal of West African Affairs,African Journal Online (AJOL),Nigeria,Centre for Democracy & Development,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
81,Dutse Journal of Pure and Applied Sciences,African Journal Online (AJOL),Nigeria,"The Faculty of Science, Federal University Dutse. Jigawa State, Nigeria",English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
82,Ebonyi Medical Journal,African Journal Online (AJOL),Nigeria,Ebonyi State University. Teaching Hospital.,English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,0,0,1,1,
83,Economic and Policy Review,African Journal Online (AJOL),Nigeria,,English,Business and Finance,0,,0,,0,,0,,0,,1,0,0,1,0,1,
84,Edo Journal of Counselling,African Journal Online (AJOL),Nigeria,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
85,EJOTMAS: Ekpoma Journal of Theatre and Media Arts,African Journal Online (AJOL),Nigeria,"Department of Theatre and Media Arts, Ambrose Alli University, Ekpoma, Nigeria",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
86,Environmental Technology and Science Journal,African Journal Online (AJOL),Nigeria,"School of Environmental Technology, Federal University of Technology, Gidan Kwanu Campus, PMB 65, Minna, Nigeria",English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
87,Equity Journal of Science and Technology,African Journal Online (AJOL),Nigeria," Kebbi State University of Science and Technology, Aliero (KSUSTA) ",English,Science and Technology,0,,1,4,0,,0,,0,,1,0,1,0,1,1,
88,"Filosofia Theoretica: Journal of African Philosophy, Culture and Religions",African Journal Online (AJOL),Nigeria,Conversational Society of Philosophy (CSP),English,Social Sciences and Humanities,0,,1,12,0,,0,,0,,0,0,0,0,1,1,
89,FUOYE Journal of Engineering and Technology,African Journal Online (AJOL),Nigeria,University of Calabar,English,Science and Technology,0,,1,9,0,,0,,0,,1,0,1,0,1,1,
90,FUTY Journal of the Environment,African Journal Online (AJOL),Nigeria,"School of Environmental Sciences, Modibbo Adama University of Technology",English,Social Sciences and Humanities,0,,1,7,0,,0,,0,,1,0,1,0,1,1,
91,Gender and Behaviour,African Journal Online (AJOL),Nigeria,IFE Centre for phychological studies,English,Social Sciences and Humanities,0,,1,13,0,,0,,0,,0,0,1,0,1,1,
92,Global Approaches to Extension Practice: A Journal of Agricultural Extension,African Journal Online (AJOL),Nigeria,"Department of Agricultural Extension, Federal University of Technology, Owerri, Imo State, Nigeria",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
93,Global Journal of Agricultural Sciences,African Journal Online (AJOL),Nigeria, Bachudo Science Co. Ltd.,English,Agriculture,0,,0,,0,,0,,0,,1,0,0,0,1,1,
94,Global Journal of Community Medicine,African Journal Online (AJOL),Nigeria,"Global Journal Series, Nigeria",English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,0,0,1,1,
95,Global Journal of Educational Research,African Journal Online (AJOL),Nigeria,Bachudo Science Co. Ltd. ,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,0,0,1,1,
96,Global Journal of Engineering Research,African Journal Online (AJOL),Nigeria,,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
97,Global Journal of Geological Sciences,African Journal Online (AJOL),Nigeria,Bachudo Science Co. Ltd. ,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
98,Global Journal of Geological Sciences,African Journal Online (AJOL),Nigeria,Bachudo Science Co. Ltd. ,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
99,Global Journal of Humanities,African Journal Online (AJOL),Nigeria,GSAR Publishers,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
100,Global Journal of Mathematical Sciences,African Journal Online (AJOL),Nigeria,,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
101,Global Journal of Medical Sciences,African Journal Online (AJOL),Nigeria,"Global Journal Series, University of Calabar, Nigeria",English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
102,Global Journal of Pure and Applied Sciences,African Journal Online (AJOL),Nigeria,Bachudo Science Co. Ltd. ,English,Science and Technology,0,,1,9,0,,0,,0,,1,0,0,0,1,1,
103,Global Journal of Social Sciences,African Journal Online (AJOL),Nigeria,Bachudo Science Co. Ltd.,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
104,Highland Medical Research Journal,African Journal Online (AJOL),Nigeria,Ziimeth communications,English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,1,0,1,1,
105,Humanities Review Journal,African Journal Online (AJOL),Nigeria,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
106,Ibadan Journal of Humanistic Studies,African Journal Online (AJOL),Nigeria," Faculty of Arts, University of Ibadan",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
107,Ife Journal of Science,African Journal Online (AJOL),Nigeria," Faculty of Science, Obafemi Awolowo University",English,Science and Technology,0,,1,12,0,,0,,0,,1,0,1,0,1,1,
108,IFE PsychologIA,African Journal Online (AJOL),Nigeria,Ife Center for Psychological Studies (I.C.P.S.),English,Medicine and Health,0,1,1,9,0,,0,,0,,0,0,0,0,1,1,
109,Ilorin Journal of Religious Studies,African Journal Online (AJOL),Nigeria,University of Ilorin,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
110,Information Impact: Journal of Information and Knowledge Management,African Journal Online (AJOL),Nigeria,Information Practitioners Network,English,Social Sciences and Humanities,0,,1,9,0,,0,,0,,1,1,1,0,1,1,
111,Information Manager (The),African Journal Online (AJOL),Nigeria,,English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
112,Information Technologist (The),African Journal Online (AJOL),Nigeria,Association of Information Professionals of Nigeria,English,Science and Technology,0,,1,,0,,0,,0,,0,0,1,0,1,1,
